Tiempo,ID,PosX,PosY,Masa,Activa
0.75,3,18.25,78.75,1.5,1
0.75,4,79.5,81.75,2.5,1
0.76,1,21.4,19.12,2,1
0.76,2,80.88,20.64,3,1
0.76,3,18.36,78.6,1.5,1
0.76,4,79.36,81.64,2.5,1
0.77,1,21.55,19.24,2,1
0.77,2,80.76,20.78,3,1
0.77,3,18.47,78.45,1.5,1
0.77,4,79.22,81.53,2.5,1
0.78,1,21.7,19.36,2,1
0.78,2,80.64,20.92,3,1
0.78,3,18.58,78.3,1.5,1
0.78,4,79.08,81.42,2.5,1
0.79,1,21.85,19.48,2,1
0.79,2,80.52,21.06,3,1
0.79,3,18.69,78.15,1.5,1
0.79,4,78.94,81.31,2.5,1
0.8,1,22,19.6,2,1
0.8,2,80.4,21.2,3,1
0.8,3,18.8,78,1.5,1
0.8,4,78.8,81.2,2.5,1
0.81,1,22.15,19.72,2,1
0.81,2,80.28,21.34,3,1
0.81,3,18.91,77.85,1.5,1
0.81,4,78.66,81.09,2.5,1
0.82,1,22.3,19.84,2,1
0.82,2,80.16,21.48,3,1
0.82,3,19.02,77.7,1.5,1
0.82,4,78.52,80.98,2.5,1
0.83,1,22.45,19.96,2,1
0.83,2,80.04,21.62,3,1
0.83,3,19.13,77.55,1.5,1
0.83,4,78.38,80.87,2.5,1
0.84,1,22.6,20.08,2,1
0.84,2,79.92,21.76,3,1
0.84,3,19.24,77.4,1.5,1
0.84,4,78.24,80.76,2.5,1
0.85,1,22.75,20.2,2,1
0.85,2,79.8,21.9,3,1
0.85,3,19.35,77.25,1.5,1
0.85,4,78.1,80.65,2.5,1
0.86,1,22.9,20.32,2,1
0.86,2,79.68,22.04,3,1
0.86,3,19.46,77.1,1.5,1
0.86,4,77.96,80.54,2.5,1
0.87,1,23.05,20.44,2,1
0.87,2,79.56,22.18,3,1
0.87,3,19.57,76.95,1.5,1
0.87,4,77.82,80.43,2.5,1
0.88,1,23.2,20.56,2,1
0.88,2,79.44,22.32,3,1
0.88,3,19.68,76.8,1.5,1
0.88,4,77.68,80.32,2.5,1
0.89,1,23.35,20.68,2,1
0.89,2,79.32,22.46,3,1
0.89,3,19.79,76.65,1.5,1
0.89,4,77.54,80.21,2.5,1
0.9,1,23.5,20.8,2,1
0.9,2,79.2,22.6,3,1
0.9,3,19.9,76.5,1.5,1
0.9,4,77.4,80.1,2.5,1
0.91,1,23.65,20.92,2,1
0.91,2,79.08,22.74,3,1
0.91,3,20.01,76.35,1.5,1
0.91,4,77.26,79.99,2.5,1
0.92,1,23.8,21.04,2,1
0.92,2,78.96,22.88,3,1
0.92,3,20.12,76.2,1.5,1
0.92,4,77.12,79.88,2.5,1
0.93,1,23.95,21.16,2,1
0.93,2,78.84,23.02,3,1
0.93,3,20.23,76.05,1.5,1
0.93,4,76.98,79.77,2.5,1
0.94,1,24.1,21.28,2,1
0.94,2,78.72,23.16,3,1
0.94,3,20.34,75.9,1.5,1
0.94,4,76.84,79.66,2.5,1
0.95,1,24.25,21.4,2,1
0.95,2,78.6,23.3,3,1
0.95,3,20.45,75.75,1.5,1
0.95,4,76.7,79.55,2.5,1
0.96,1,24.4,21.52,2,1
0.96,2,78.48,23.44,3,1
0.96,3,20.56,75.6,1.5,1
0.96,4,76.56,79.44,2.5,1
0.97,1,24.55,21.64,2,1
0.97,2,78.36,23.58,3,1
0.97,3,20.67,75.45,1.5,1
0.97,4,76.42,79.33,2.5,1
0.98,1,24.7,21.76,2,1
0.98,2,78.24,23.72,3,1
0.98,3,20.78,75.3,1.5,1
0.98,4,76.28,79.22,2.5,1
0.99,1,24.85,21.88,2,1
0.99,2,78.12,23.86,3,1
0.99,3,20.89,75.15,1.5,1
0.99,4,76.14,79.11,2.5,1
1,1,25,22,2,1
1,2,78,24,3,1
1,3,21,75,1.5,1
1,4,76,79,2.5,1
1.01,1,25.15,22.12,2,1
1.01,2,77.88,24.14,3,1
1.01,3,21.11,74.85,1.5,1
1.01,4,75.86,78.89,2.5,1
1.02,1,25.3,22.24,2,1
1.02,2,77.9029,24.2427,3,1
1.02,3,21.22,74.7,1.5,1
1.02,4,75.72,78.78,2.5,1
1.03,1,25.45,22.36,2,1
1.03,2,78.0393,24.3158,3,1
1.03,3,21.33,74.55,1.5,1
1.03,4,75.58,78.67,2.5,1
1.04,1,25.6,22.48,2,1
1.04,2,78.1758,24.3889,3,1
1.04,3,21.44,74.4,1.5,1
1.04,4,75.44,78.56,2.5,1
1.05,1,25.75,22.5,2,1
1.05,2,78.3122,24.462,3,1
1.05,3,21.55,74.25,1.5,1
1.05,4,75.3,78.45,2.5,1
1.06,1,25.9,22.41,2,1
1.06,2,78.4487,24.5351,3,1
1.06,3,21.66,74.1,1.5,1
1.06,4,75.16,78.34,2.5,1
1.07,1,26.05,22.32,2,1
1.07,2,78.5852,24.6082,3,1
1.07,3,21.77,73.95,1.5,1
